tier,firsttd_corr,firsttd_partial_corr,ball_corr,ball_partial_corr,n
10-20%,0.2292235798929557,0.2376382472380477,-0.004900122981018631,-0.02938357985599711,102
20-30%,0.3698095407299212,0.39409480867448826,-0.131657896124854,-0.20222704208733297,324
30-40%,0.23764802373403116,0.2552927150654489,-0.07642973251764133,-0.11958479432912966,396
40-50%,0.3551399347714581,0.34376025634321916,0.09215625533071488,0.04638210182558473,456
50-60%,0.35596139671262356,0.3494384608216914,0.05544625220307776,0.029136898478777158,389
60-70%,0.2934177702182741,0.30372678701974754,-0.060898228005679136,-0.09977349578118636,430
70-80%,0.3206835669531763,0.34642007553047477,-0.06978000634773499,-0.15971202632297654,361
80-90%,0.2416406174792607,0.2494626045563904,-0.14209592370837074,-0.16735452839466927,156
