pregame_prob,prob_no_first_td,prob_with_first_td,difference
0.05,5.7205624629475595,20.77205834421273,15.051495881265172
0.06,5.964513320552948,21.511421555954563,15.546908235401615
0.07,6.218181215249505,22.26970447042382,16.051523255174317
0.08,6.481893838201276,23.046868323692422,16.564974485491145
0.09,6.755984803799733,23.842834353932904,17.08684955013317
0.1,7.040793282197956,24.657482084877955,17.61668880268
0.11,7.336663579067992,25.490647731771936,18.153984152703945
0.12,7.6439446593347675,26.342122750126258,18.69817809079149
0.13,7.96298961164823,27.21165254768495,19.24866293603672
0.14,8.29415505039417,28.098935379839894,19.804780329445723
0.15,8.63780045211746,29.003621448286943,20.365820996169482
0.16,8.99428742334345,29.92531222196459,20.931024798621138
0.17,9.363978896938573,30.86355999825497,21.499581101316398
0.18,9.747238254353933,31.817867721042383,22.07062946668845
0.19,10.144428371350562,32.787689070516336,22.643260699165772
0.2,10.555910585116624,33.772428837578566,23.216518252461942
0.21,10.982043581058813,34.77144359337706,23.789400012318247
0.22,11.423182197987511,35.78404266186538,24.360860463877867
0.23,11.879676150920632,36.809489400397354,24.929813249476723
0.24,12.351868671308132,37.84700279025072,25.495134118942588
0.25,12.840095065130471,38.89575933566883,26.055664270538358
0.26,13.344681190051045,39.95489526656611,26.610214076515067
0.27,13.865941853605934,41.02350903651251,27.157567182906575
0.28,14.404179135293523,42.10066410405556,27.696484968762036
0.29,14.959680636379655,43.18539198191556,28.225711345535903
0.3,15.532717662258088,44.27669553516601,28.743977872907926
0.31,16.123543343295324,45.373552506251464,29.25000916295614
0.32,16.732390701237275,46.474919241662526,29.74252854042525
0.33,17.359470669452797,47.57973459234321,30.22026392289041
0.34,18.004970076525748,48.686923957506785,30.681953880981037
0.35,18.66904960396841,49.79540343953074,31.126353835562327
0.36,19.35184173010029,50.90408407603426,31.55224234593397
0.37,20.053448673398634,52.01187611414485,31.958427440746213
0.38,20.77394034986079,53.11769329135869,32.3437529414979
0.39,21.513352360101536,54.22045708730503,32.70710472720349
0.4,22.271684023016057,55.319100911140595,33.04741688812454
0.41,23.04889647384664,56.41257419021625,33.36367771636961
0.42,23.84491084537003,57.499846327055394,33.654935481685364
0.43,24.659606551646927,58.57991049353149,33.92030394188457
0.44,25.49281969431544,59.65178723339183,34.158967539076386
0.45,26.34434161174112,60.714527846897546,34.370186235156424
0.46,27.21391759142962,61.76721753428333,34.55329994285371
0.47,28.101245765940735,62.80897827792319,34.70773251198246
0.48,29.005976212093564,63.83897144645954,34.832995234365974
0.49,29.927710272502082,64.85640010764658,34.928689835144496
0.5,30.866000117417702,65.8605110402106,34.9945109227929
0.51,31.82034856347013,66.85059643857689,35.03024787510675
0.52,32.790209164188674,67.82599530779532,35.03578614360665
0.53,33.77498658515765,68.78609454935767,35.01110796420002
0.54,34.77403727432277,69.73032974179189,34.95629246746912
0.55,35.78667043533963,70.65818562289384,34.87151518755421
0.56,36.81214930896636,71.56919628318391,34.75704697421755
0.57,37.849692764385985,72.46294508262056,34.61325231823458
0.58,38.898477199038965,73.33906430474627,34.44058710570731
0.59,39.95763874210212,74.19723456426814,34.239595822166024
0.6,41.026275753220695,75.03718398558009,34.01090823235939
0.61,42.1034516045423,75.85868717091296,33.75523556637066
0.62,43.1881977305799,76.6615639776634,33.473366247083504
0.63,44.27951692700694,77.44567812500908,33.16616119800214
0.64,45.37638687622874,78.21093565018671,32.83454877395797
0.65,46.47776387454244,78.95728323480861,32.479519360266174
0.66,47.582586732954134,79.68470642134645,32.102119688392314
0.67,48.68978082132338,80.39322773944461,31.70344691812123
0.68,49.79826222350137,81.08290476106504,31.28464253756367
0.69,50.90694196956251,81.75382810264014,30.846886133077632
0.7,52.01473031013407,82.40611939144638,30.39138908131231
0.71,53.120540997227174,83.0399292123381,29.91938821511092
0.72,54.2232955358804,83.65543504982183,29.43213951394143
0.73,55.321927371343364,84.2528392392346,28.93091186789124
0.74,56.41538597744539,84.83236693953438,28.416980962088992
0.75,57.50264081319336,85.39426413894141,27.89162332574805
0.76,58.582685116491106,85.93879570340212,27.356110586911015
0.77,59.65453950613395,86.46624347660008,26.811703970466134
0.78,60.71725536585545,86.97690443902468,26.25964907316923
0.79,61.769917987137916,87.4710889324419,25.701170945303986
0.8,62.811649450681294,87.9491189549979,25.137469504316606
0.81,63.84161122979681,88.41132653113922,24.569715301342413
0.82,64.85900650248509,88.85805215955253,23.99904565706744
0.83,65.86308216251113,89.28964334142077,23.426561178909637
0.84,66.85313052333434,89.70645319046147,22.85332266712713
0.85,67.82849071223472,90.10883912545782,22.280348413223095
0.86,68.78854975533704,90.49716164531422,21.708611889977178
0.87,69.73274335742565,90.87178318606507,21.139039828639426
0.88,70.66055638341827,91.2330670587323,20.572510675314035
0.89,71.57152305109264,91.58137646646733,20.009853415374693
0.9,72.46522684710393,91.91707359901655,19.451846751912612
0.91,73.34130018047364,92.24051880221592,18.89921862174228
0.92,74.19942378955659,92.55206981994652,18.352646030389934
0.93,75.0393259199962,92.85208110575965,17.81275518576345
0.94,75.86078129235719,93.14090320120958,17.280121908852394
0.95,76.66360987898818,93.41888217780377,16.755272298815584
