pregame_prob,effect_got_ball,effect_no_ball,avg_effect
0.05,13.148057581773392,17.109773559394625,15.12891557058401
0.06,13.603407869546533,17.639948635281975,15.621678252414254
0.07,14.069007072944883,18.17755655255773,16.123281812751305
0.08,14.544657890561618,18.72203762968843,16.633347760125023
0.09,15.030123875762596,19.272781986282034,17.151452931022316
0.1,15.525127608501348,19.829129047733428,17.677128328117387
0.11,16.029348952954994,20.390367319679754,18.209858136317372
0.12,16.542423421820434,20.955734454276282,18.749078938048356
0.13,17.06394066907397,21.524417629069944,19.294179149071958
0.14,17.59344313379078,22.095554257644352,19.84449869571757
0.15,18.130424858213004,22.668233049230523,20.399328953721763
0.16,18.674330503614684,23.241495432122015,20.95791296786835
0.17,19.22455458761057,23.81433735300916,21.519445970309867
0.18,19.780440966363084,24.385711461269857,22.08307621381647
0.19,20.341282584634573,24.954529683847298,22.647906134240934
0.2,20.90632151578568,25.519666192638745,23.212993854212215
0.21,21.474749312619196,26.079960762354006,23.7773550374866
0.22,22.04570768839778,26.63422251262283,24.339965100510305
0.23,22.618289545417273,27.181234023792346,24.89976178460481
0.24,23.191540366194452,27.719755811415,25.455648088804725
0.25,23.764459979635554,28.24853113995277,26.00649555979416
0.26,24.336004711504827,28.766291151777413,26.55114793164112
0.27,24.905089925132597,29.27176028320389,27.088425104168245
0.28,25.47059295462104,29.76366193512193,27.617127444871485
0.29,26.031356428861073,30.240724361860703,28.136040395360887
0.3,26.586191980510986,30.701686738300417,28.6439393594057
0.31,27.13388432976066,31.145305361995923,29.139594845878293
0.32,27.673195728271615,31.570359944258275,29.621777836264947
0.33,28.202870744207985,31.97565994180361,30.0892653430058
0.34,28.72164136482276,32.36005087876611,30.540846121794434
0.35,29.22823238870923,32.72242060761986,30.975326498164545
0.36,29.721367075637183,33.06170545688821,31.391536266262698
0.37,30.199773017940373,33.37689621345479,31.788334615697583
0.38,30.66218819377043,33.66704388783499,32.16461604080271
0.39,31.107367159249144,33.931265211916596,32.519316185582866
0.4,31.534087333692373,34.16874782042275,32.85141757705756
0.41,31.94115532969828,34.37875506966754,33.15995519968291
0.42,32.32741327803242,34.560630450036875,33.444021864034646
0.43,32.69174509594123,34.71380155199934,33.702773323970284
0.44,33.0330826468061,34.83778354929126,33.93543309804868
0.45,33.35041173893437,34.93218216718099,34.141296953057676
0.46,33.64277791177354,34.996696108347436,34.31973701006049
0.47,33.90929195893416,35.03111891385236,34.47020543639326
0.48,34.1491351390988,35.03534024188743,34.59223769049312
0.49,34.3615640281636,35.00934655237421,34.685455290268905
0.5,34.5459149687747,34.95322119102782,34.749568079901266
0.51,34.70160807675132,34.867143872099334,34.78437597442533
0.52,34.82815076768737,34.751389564625356,34.78977016615636
0.53,34.92514077125007,34.60632679257204,34.76573378191105
0.54,34.99226860529371,34.432415364702166,34.712341984997934
0.55,35.029319486826154,34.230203555256104,34.62976152104113
0.56,35.03617466204706,34.00032476155982,34.518249711803435
0.57,35.01281214305947,33.74349366939617,34.378152906227825
0.58,34.959306844379476,33.460501961346004,34.20990440286274
0.59,34.87583011796943,33.15221360726622,34.014021862617824
0.6,34.76264869113551,32.819559779580615,33.79110423535806
0.61,34.62012301719549,32.46353343906648,33.54182822813098
0.62,34.44870505427829,32.08518363929376,33.266944346786026
0.63,34.24893549289562,31.68560959977932,32.96727254633747
0.64,34.02144045797248,31.265954599237293,32.64369752860489
0.65,33.76692771577453,30.82739974102042,32.29716372839748
0.66,33.48618242057321,30.371157642952774,31.92867003176299
0.67,33.18006243988842,29.898466103255185,31.539264271571803
0.68,32.849493300697745,29.410581793173584,31.130037546935664
0.69,32.495462802054206,28.90877402526222,30.702118413658212
0.7,32.11901534207548,28.394318644078474,30.256666993076976
0.71,31.721246009224824,27.86849208335761,29.79486904629122
0.72,31.30329448917324,27.332565630601046,29.317930059887143
0.73,30.86633883929959,26.787799936488465,28.827069387894028
0.74,30.41158918304462,26.235439802674186,28.323514492859402
0.75,29.940281375886958,25.67670927741572,27.80849532665134
0.76,29.453670693669665,25.1128070841818,27.28323888892573
0.77,28.953025592395576,24.544902403961398,26.74896399817849
0.78,28.439621586459694,23.974131027522695,26.206876306991195
0.79,27.914735289639836,23.401591889413975,25.658163589526907
0.8,27.37963866006864,22.828343991124722,25.10399132559668
0.81,26.835593486918107,22.255403716597254,24.54549860175768
0.82,26.28384615270396,21.68374253924731,23.98379434597563
0.83,25.725622701024985,21.114285115870544,23.419953908447766
0.84,25.162124235264884,20.547907759316864,22.855015997290874
0.85,24.59452266936717,19.98543727864274,22.289979974004954
0.86,24.02395684732197,19.427650172627263,21.725803509974618
0.87,23.45152904354254,18.87527216007787,21.163400601810203
0.88,22.878301851926608,18.328978028267084,20.603639940096848
0.89,22.305295467153208,17.78939177913297,20.04734362314309
0.9,21.733485357716674,17.2570870515412,19.495286204628936
0.91,21.16380032639248,16.73258779693083,18.948194061661653
0.92,20.5971209503094,16.21636918503797,18.406745067673683
0.93,20.03427838960128,15.70885871608545,17.871568552843364
0.94,19.476053550755356,15.210437515822385,17.343245533288872
0.95,18.92317658828321,14.721441790064516,16.82230918917386
