game_id,first_td_team_x,td_player_name,play_type,first_td_game_seconds_remaining,first_td_qtr,first_td_quarter_seconds_remaining,season,home_team,away_team,home_score,away_score,winner,home_moneyline,away_moneyline,home_prob,away_prob,favored_team,favored_team_prob,spread_line,opening_possession_team,first_td_team_won,home_got_ball_first,away_got_ball_first,home_scored_first_td,away_scored_first_td,is_pickem,spread_abs,favorite_won,opening_possession_scored_first,opening_possession_won,first_td_minutes_remaining,kalshi_ticker,pregame_home_prob_kalshi,pregame_away_prob_kalshi,first_td_timestamp,first_td_team_y,post_td_home_prob_kalshi,post_td_away_prob_kalshi,prob_change_home,prob_change_away,data_quality_flag,kalshi_vs_vegas_home_diff,kalshi_vs_vegas_away_diff,kalshi_vs_vegas_home_abs_diff,kalshi_vs_vegas_away_abs_diff,kalshi_first_td_impact_home,kalshi_first_td_impact_away,kalshi_total_prob_change,has_kalshi_data,has_complete_kalshi_data,kalshi_era
2020_02_NYG_CHI,CHI,D.Montgomery,pass,3158.0,1.0,458.0,2020,CHI,NYG,17.0,13.0,CHI,-222.0,196.0,0.6894409937888198,0.3378378378378378,CHI,0.6894409937888198,4.5,CHI,1,1,0,1,0,0,4.5,1,1,1,52.63,,,,,,,,,,,,,,,,,,0,0,0
2020_02_ATL_DAL,ATL,C.Ridley,pass,3366.0,1.0,666.0,2020,DAL,ATL,40.0,39.0,DAL,-145.0,131.0,0.5918367346938775,0.4329004329004329,DAL,0.5918367346938775,3.0,ATL,0,0,1,0,1,0,3.0,1,1,0,56.1,,,,,,,,,,,,,,,,,,0,0,0
2020_02_DET_GB,DET,K.Johnson,run,3337.0,1.0,637.0,2020,GB,DET,42.0,21.0,GB,-284.0,245.0,0.7395833333333334,0.2898550724637681,GB,0.7395833333333334,7.0,DET,0,0,1,0,1,0,7.0,1,1,0,55.62,,,,,,,,,,,,,,,,,,0,0,0
2020_02_MIN_IND,IND,J.Taylor,run,2511.0,2.0,711.0,2020,IND,MIN,28.0,11.0,IND,-176.0,158.0,0.6376811594202898,0.3875968992248062,IND,0.6376811594202898,3.5,MIN,1,0,1,1,0,0,3.5,1,0,0,41.85,,,,,,,,,,,,,,,,,,0,0,0
2020_02_BUF_MIA,BUF,R.Gilliam,pass,3000.0,1.0,300.0,2020,MIA,BUF,28.0,31.0,BUF,214.0,-244.0,0.3184713375796178,0.7093023255813954,BUF,0.7093023255813954,-5.5,BUF,1,0,1,0,1,0,5.5,1,1,1,50.0,,,,,,,,,,,,,,,,,,0,0,0
2020_02_SF_NYJ,SF,R.Mostert,run,3593.0,1.0,893.0,2020,NYJ,SF,13.0,31.0,SF,259.0,-301.0,0.2785515320334262,0.7506234413965087,SF,0.7506234413965087,-7.0,SF,1,0,1,0,1,0,7.0,1,1,1,59.88,,,,,,,,,,,,,,,,,,0,0,0
2020_02_LA_PHI,LA,T.Higbee,pass,3379.0,1.0,679.0,2020,PHI,LA,19.0,37.0,LA,-123.0,111.0,0.5515695067264574,0.4739336492890995,PHI,0.5515695067264574,2.0,PHI,1,1,0,0,1,0,2.0,0,0,0,56.32,,,,,,,,,,,,,,,,,,0,0,0
2020_02_DEN_PIT,PIT,J.Conner,run,2967.0,1.0,267.0,2020,PIT,DEN,26.0,21.0,PIT,-267.0,232.0,0.7275204359673024,0.3012048192771084,PIT,0.7275204359673024,6.0,DEN,1,0,1,1,0,0,6.0,1,0,0,49.45,,,,,,,,,,,,,,,,,,0,0,0
2020_02_CAR_TB,TB,R.Jones,run,3047.0,1.0,347.0,2020,TB,CAR,31.0,17.0,TB,-342.0,290.0,0.7737556561085973,0.2564102564102564,TB,0.7737556561085973,7.5,TB,1,1,0,1,0,0,7.5,1,1,1,50.78,,,,,,,,,,,,,,,,,,0,0,0
2020_02_JAX_TEN,TEN,J.Smith,pass,3508.0,1.0,808.0,2020,TEN,JAX,33.0,30.0,TEN,-295.0,254.0,0.7468354430379747,0.2824858757062147,TEN,0.7468354430379747,7.0,TEN,1,1,0,1,0,0,7.0,1,1,1,58.47,,,,,,,,,,,,,,,,,,0,0,0
