game_id,first_td_real_timestamp
2021_17_JAX_NE,2022-01-02T18:14:29Z
2021_17_KC_CIN,2022-01-02T18:19:40Z
2021_17_LA_BAL,2022-01-02T18:29:08Z
2021_17_LV_IND,2022-01-02T18:10:48Z
2021_17_MIA_TEN,2022-01-02T18:39:57Z
2021_17_MIN_GB,2022-01-03T02:26:20Z
2021_17_NYG_CHI,2022-01-02T18:05:05Z
2021_17_PHI_WAS,2022-01-02T18:06:18Z
2021_17_TB_NYJ,2022-01-02T18:07:38Z
2021_18_CAR_TB,2022-01-09T21:37:15Z
2021_18_CHI_MIN,2022-01-09T19:14:15Z
2021_18_CIN_CLE,2022-01-09T18:37:04Z
2021_18_DAL_PHI,2022-01-09T01:22:48Z
2021_18_GB_DET,2022-01-09T18:15:52Z
2021_18_IND_JAX,2022-01-09T18:14:41Z
2021_18_KC_DEN,2022-01-08T21:45:05Z
2021_18_LAC_LV,2022-01-10T01:47:17Z
2021_18_NE_MIA,2022-01-09T21:36:17Z
2021_18_NO_ATL,2022-01-09T21:33:06Z
2021_18_NYJ_BUF,2022-01-09T21:31:35Z
2021_18_PIT_BAL,2022-01-09T19:49:49Z
2021_18_SEA_ARI,2022-01-09T21:26:39Z
2021_18_SF_LA,2022-01-09T22:00:29Z
2021_18_TEN_HOU,2022-01-09T18:53:37Z
2021_18_WAS_NYG,2022-01-09T19:53:55Z
2021_19_ARI_LA,2022-01-18T01:40:00Z
2021_19_LV_CIN,2022-01-15T21:52:41Z
2021_19_NE_BUF,2022-01-16T01:22:13Z
2021_19_PHI_TB,2022-01-16T18:16:37Z
2021_19_PIT_KC,2022-01-17T02:04:19Z
2021_19_SF_DAL,2022-01-16T21:46:24Z
2021_20_BUF_KC,2022-01-23T23:49:32Z
2021_20_CIN_TEN,2022-01-22T22:27:52Z
2021_20_LA_TB,2022-01-23T20:30:59Z
2021_20_SF_GB,2022-01-23T01:22:54Z
2021_21_CIN_KC,2022-01-30T20:16:19Z
2021_21_SF_LA,2022-01-31T00:25:18Z
2021_22_LA_CIN,2022-02-13T23:50:17Z
2022_01_BAL_NYJ,2022-09-11T18:17:21Z
2022_01_BUF_LA,2022-09-09T00:28:59Z
2022_01_CLE_CAR,2022-09-11T17:58:44Z
2022_01_DEN_SEA,2022-09-13T00:19:54Z
2022_01_GB_MIN,2022-09-11T20:33:06Z
2022_01_IND_HOU,2022-09-11T18:01:11Z
2022_01_JAX_WAS,2022-09-11T17:20:01Z
2022_01_KC_ARI,2022-09-11T20:33:57Z
2022_01_LV_LAC,2022-09-11T21:06:54.233Z
2022_01_NE_MIA,2022-09-11T17:48:35.787Z
2022_01_NO_ATL,2022-09-11T17:30:28Z
2022_01_NYG_TEN,2022-09-11T20:34:38Z
2022_01_PHI_DET,2022-09-11T17:11:32Z
2022_01_PIT_CIN,2022-09-11T17:10:24Z
2022_01_SF_CHI,2022-09-11T17:55:57Z
2022_01_TB_DAL,2022-09-12T02:21:48Z
2022_02_ARI_LV,2022-09-18T20:38:06Z
2022_02_ATL_LA,2022-09-18T20:26:20Z
2022_02_CAR_NYG,2022-09-18T18:41:57Z
2022_02_CHI_GB,2022-09-19T00:44:25Z
2022_02_CIN_DAL,2022-09-18T20:33:22Z
2022_02_HOU_DEN,2022-09-18T22:50:53Z
2022_02_IND_JAX,2022-09-18T17:24:30Z
2022_02_LAC_KC,2022-09-16T00:49:24.283Z
2022_02_MIA_BAL,2022-09-18T17:02:40Z
2022_02_MIN_PHI,2022-09-20T00:38:40Z
2022_02_NE_PIT,2022-09-18T18:15:53Z
2022_02_NYJ_CLE,2022-09-18T17:18:08Z
2022_02_SEA_SF,2022-09-18T20:48:35.687Z
2022_02_TB_NO,2022-09-18T19:34:51Z
2022_02_TEN_BUF,2022-09-19T23:28:36.617Z
2022_02_WAS_DET,2022-09-18T17:37:28.900Z
2022_03_ATL_SEA,2022-09-25T20:41:34.287Z
2022_03_BAL_NE,2022-09-25T17:23:37Z
2022_03_BUF_MIA,2022-09-25T17:13:55Z
2022_03_CIN_NYJ,2022-09-25T17:15:12Z
2022_03_DAL_NYG,2022-09-27T02:15:11Z
2022_03_DET_MIN,2022-09-25T17:20:07Z
2022_03_GB_TB,2022-09-25T20:41:58Z
2022_03_HOU_CHI,2022-09-25T17:26:03Z
2022_03_JAX_LAC,2022-09-25T20:59:59Z
2022_03_KC_IND,2022-09-25T17:08:18Z
2022_03_LA_ARI,2022-09-25T20:49:38Z
2022_03_LV_TEN,2022-09-25T17:12:38Z
2022_03_NO_CAR,2022-09-25T17:24:16.703Z
2022_03_PHI_WAS,2022-09-25T17:45:57Z
2022_03_PIT_CLE,2022-09-23T00:41:17Z
2022_03_SF_DEN,2022-09-26T00:37:17Z
2022_04_ARI_CAR,2022-10-02T20:46:24Z
2022_04_BUF_BAL,2022-10-02T17:06:29Z
2022_04_CHI_NYG,2022-10-02T17:19:49.720Z
2022_04_CLE_ATL,2022-10-02T17:28:13.543Z
2022_04_DEN_LV,2022-10-02T20:51:21Z
2022_04_JAX_PHI,2022-10-02T17:09:48.033Z
2022_04_KC_TB,2022-10-03T00:25:03Z
2022_04_LAC_HOU,2022-10-02T17:08:33Z
2022_04_LA_SF,2022-10-04T00:36:33Z
2022_04_MIA_CIN,2022-09-30T00:23:25Z
2022_04_MIN_NO,2022-10-02T13:44:41.730Z
2022_04_NE_GB,2022-10-02T21:08:30Z
2022_04_NYJ_PIT,2022-10-02T17:39:33Z
2022_04_SEA_DET,2022-10-02T17:12:10Z
2022_04_TEN_IND,2022-10-02T17:17:23Z
2022_04_WAS_DAL,2022-10-02T17:56:35Z
2022_05_ATL_TB,2022-10-09T17:48:42Z
2022_05_CHI_MIN,2022-10-09T17:11:15Z
2022_05_CIN_BAL,2022-10-10T01:06:05Z
2022_05_DAL_LA,2022-10-09T20:27:22Z
2022_05_DET_NE,2022-10-09T18:07:36Z
2022_05_HOU_JAX,2022-10-09T19:40:51Z
2022_05_LAC_CLE,2022-10-09T17:06:06Z
2022_05_LV_KC,2022-10-11T00:28:29.040Z
2022_05_MIA_NYJ,2022-10-09T17:48:02Z
2022_05_NYG_GB,2022-10-09T14:03:46Z
2022_05_PHI_ARI,2022-10-09T20:37:57Z
2022_05_PIT_BUF,2022-10-09T17:04:29Z
2022_05_SEA_NO,2022-10-09T17:16:42Z
2022_05_SF_CAR,2022-10-09T20:10:18Z
2022_05_TEN_WAS,2022-10-09T17:29:38Z
2022_06_ARI_SEA,2022-10-16T22:16:23.720Z
2022_06_BAL_NYG,2022-10-16T17:48:50Z
2022_06_BUF_KC,2022-10-16T21:10:23Z
2022_06_CAR_LA,2022-10-16T21:01:38Z
2022_06_CIN_NO,2022-10-16T17:10:24Z
2022_06_DAL_PHI,2022-10-17T00:54:08Z
2022_06_DEN_LAC,2022-10-18T00:45:53.907Z
2022_06_JAX_IND,2022-10-16T17:26:38Z
2022_06_MIN_MIA,2022-10-16T18:07:32Z
2022_06_NE_CLE,2022-10-16T18:11:35.490Z
2022_06_NYJ_GB,2022-10-16T19:00:46Z
2022_06_SF_ATL,2022-10-16T17:11:59Z
2022_06_TB_PIT,2022-10-16T17:13:44Z
2022_06_WAS_CHI,2022-10-14T02:03:15.907Z
2022_07_ATL_CIN,2022-10-23T17:05:02Z
2022_07_CHI_NE,2022-10-25T00:41:52Z
2022_07_CLE_BAL,2022-10-23T17:09:53Z
2022_07_DET_DAL,2022-10-23T18:39:24Z
2022_07_GB_WAS,2022-10-23T17:22:01Z
2022_07_HOU_LV,2022-10-23T20:46:37Z
2022_07_IND_TEN,2022-10-23T17:48:06.230Z
2022_07_KC_SF,2022-10-23T20:40:13.037Z
2022_07_NO_ARI,2022-10-21T00:18:39Z
2022_07_NYG_JAX,2022-10-23T17:08:53Z
2022_07_NYJ_DEN,2022-10-23T20:32:52Z
